CSV Import Log - 2026-02-07T12:10:29.120278
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S09518... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2401.04734... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10391265... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/10.1021/acs.jpclett.3c03129... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S24058... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/9/437... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/7/3/51... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/1/3... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S277315372... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41524-024-01197-7... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S277315372... (incomplete)
✓ 📝 Added: https://www.cell.com/cell-reports-physical-science/fulltext/... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/10309053... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2032-6653/14/7/188... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/15/13/4753... (incomplete)
✓ 📝 Added: https://engrxiv.org/preprint/view/2803/5221... (incomplete)
✓ 📝 Added: https://arc.aiaa.org/doi/abs/10.2514/6.2024-2314... (incomplete)
✓ 📝 Added: https://asmedigitalcollection.asme.org/dynamicsystems/articl... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S259011682... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S096706612... (incomplete)
✓ 📝 Added: https://arc.aiaa.org/doi/full/10.2514/1.C037404... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://www.nasa.gov/intelligent-systems-division/discovery-... (incomplete)
✓ 📝 Added: https://pubs.rsc.org/en/content/articlelanding/2024/cp/d3cp0... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266638642... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ace21c... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/9994790... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/10356631... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S235271102... (incomplete)
✓ 📝 Added: https://www.science.org/doi/abs/10.1126/science.adn1749... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/10.1002/ente.202300707... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/8/2/11... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/12/571... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S00981... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1007/s40866-023-00174-1... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/11/558... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S20954... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S235214652... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/10.1155/2023/5513446... (incomplete)
✓ 📝 Added: https://arc.aiaa.org/doi/full/10.2514/1.C036851... (incomplete)
✓ 📝 Added: https://www.sae.org/publications/technical-papers/content/20... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41467-023-42512-y... (incomplete)
✓ 📝 Added: https://papers.phmsociety.org/index.php/phmconf/article/view... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/8/413... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S20959... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://asmedigitalcollection.asme.org/electrochemical/artic... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/2.0411609jes... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/2.1181714jes... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2310.05052... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41560-023-01374-w... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S259011682... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S240582972... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/6/1/12... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/6/1/13... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/7/2/28... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41560-023-01361-1... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266654682... (incomplete)
✓ 📝 Added: https://www.frontiersin.org/journals/energy-research/article... (incomplete)
✓ 📝 Added: https://www.frontiersin.org/journals/energy-research/article... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266638642... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/10258503... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/9662298... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S259011682... (incomplete)
✓ 📝 Added: https://www.cell.com/joule/fulltext/S2542-4351(23)00312-4... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S258900422... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2410.19478... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
⚠️ Row 405: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S235234092... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
⚠️ Row 408: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S25901... (incomplete)
⚠️ Row 410: No title or URL, skipping
✓ 📝 Added: https://link.springer.com/article/10.1007/s11581-024-05893-8... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S235234092... (incomplete)
⚠️ Row 414: No title or URL, skipping
⚠️ Row 415: No title or URL, skipping
⚠️ Row 416: No title or URL, skipping
⚠️ Row 417: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S09596... (incomplete)
⚠️ Row 420: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://chemrxiv.org/engage/chemrxiv/article-details/67155be... (incomplete)
⚠️ Row 423: No title or URL, skipping
⚠️ Row 424: No title or URL, skipping
✓ 📝 Added: https://ieeexplore.ieee.org/document/9689690... (incomplete)
⚠️ Row 426: No title or URL, skipping
✓ 📝 Added: https://www.nature.com/articles/s41597-024-03859-z... (incomplete)
⚠️ Row 428: No title or URL, skipping
⚠️ Row 429: No title or URL, skipping
✓ 📝 Added: https://www.mdpi.com/1996-1073/17/22/5722... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/17/22/5754... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10754953... (incomplete)
⚠️ Row 434: No title or URL, skipping
✓ 📝 Added: https://journals.sagepub.com/doi/full/10.1177/09576509241299... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2032-6653/15/11/532... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10755988... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1007/s11581-024-05914-6... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ad940d/... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/17/22/5753... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S036054422... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S20954... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S00134... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2304.00691... (incomplete)
✓ 📝 Added: https://www.cell.com/cell-reports-physical-science/fulltext/... (incomplete)
✓ 📝 Added: https://www.frontiersin.org/journals/energy-research/article... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/7488267... (incomplete)
✓ 📝 Added: https://www.frontiersin.org/journals/energy-research/article... (incomplete)
⚠️ Row 450: No title or URL, skipping
⚠️ Row 451: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877531... (incomplete)
✓ 📝 Added: https://link.springer.com/chapter/10.1007/978-3-031-01340-9_... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S254243512... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266638642... (incomplete)
⚠️ Row 457: No title or URL, skipping
⚠️ Row 458: No title or URL, skipping
✓ 📝 Added: https://www.mdpi.com/2032-6653/7/1/41... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/8463540... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/16/14/5303... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S2352152X2... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/10/496... (incomplete)
⚠️ Row 464: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S254243512... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S209549562... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/7963575... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/9829886... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
⚠️ Row 472: No title or URL, skipping
✓ 📝 Added: https://pubs.rsc.org/en/content/articlelanding/2022/cp/d2cp0... (incomplete)
✓ 📝 Added: https://pubs.rsc.org/en/content/articlelanding/2021/ee/d1ee0... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1088/2516-1083/ac7d31... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10... (incomplete)
✓ 📝 Added: https://www.cell.com/joule/fulltext/S2542-4351(22)00254-9... (incomplete)
⚠️ Row 478: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/11/394... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
⚠️ Row 482: No title or URL, skipping
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10746484... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/11/398... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10745600... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2411.08025... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
⚠️ Row 488: No title or URL, skipping
⚠️ Row 489: No title or URL, skipping
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/11/380... (incomplete)
⚠️ Row 491: No title or URL, skipping
✓ 📝 Added: https://journals.sagepub.com/doi/abs/10.1177/095440702412872... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1007/s00202-024-02808-8... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10736577... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S235234092... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10738796... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/11/384... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10723773... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10723815... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ac6aed/... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/17/17/4309... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/10213945... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S235234092... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/6243511... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/7310372... (incomplete)
✓ 📝 Added: https://saemobilus.sae.org/articles/model-based-state-charge... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2410.19478... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/07711.0403ecst/me... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s44172-023-00153-5... (incomplete)
⚠️ Row 513: No title or URL, skipping
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ab9cd1... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/accb69... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/07711.1919ecst... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/MA2016-01/4/450... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/10598937... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/7310372... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/6342591... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://flore.unifi.it/handle/2158/1238304... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/8493924... (incomplete)
✓ 📝 Added: https://scijournals.onlinelibrary.wiley.com/doi/full/10.1002... (incomplete)
✓ 📝 Added: https://www.cell.com/cell-reports-physical-science/fulltext/... (incomplete)
✓ 📝 Added: https://research.chalmers.se/en/publication/543531... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S00262... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
⚠️ Row 534: No title or URL, skipping
✓ 📝 Added: https://www.nature.com/articles/nature14541... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S235248472... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S09659... (incomplete)
⚠️ Row 542: No title or URL, skipping
✓ 📝 Added: https://arxiv.org/abs/2206.06584... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/0706.3188... (incomplete)
⚠️ Row 545: No title or URL, skipping
✓ 📝 Added: https://arxiv.org/abs/2107.07511... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S030626192... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03062... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/abdc5f... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/17/14/3372... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S030626192... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S24058... (incomplete)
✓ 📝 Added: https://www.cell.com/joule/fulltext/S2542-4351(21)00247-6... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S01672... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/9/8/395... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S030626192... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41467-023-38895-7... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2032-6653/9/3/39... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/14/11/3284... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2079-9292/9/1/152... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41597-023-02180-5... (incomplete)
⚠️ Row 567: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266654682... (incomplete)
⚠️ Row 569: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03605... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S235234091... (incomplete)
✓ 📝 Added: https://data.mendeley.com/datasets/r4n22f4jfk/1... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41467-020-15235-7... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1007/s12541-023-00832-5... (incomplete)
⚠️ Row 575: No title or URL, skipping
⚠️ Row 576: No title or URL, skipping
⚠️ Row 577: No title or URL, skipping
✓ 📝 Added: https://ieeexplore.ieee.org/document/9813996... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/10186991... (incomplete)
⚠️ Row 580: No title or URL, skipping
⚠️ Row 581: No title or URL, skipping
✓ 📝 Added: https://data.mendeley.com/datasets/wykht8y7tg/1... (incomplete)
⚠️ Row 583: No title or URL, skipping
⚠️ Row 584: No title or URL, skipping
⚠️ Row 585: No title or URL, skipping
⚠️ Row 586: No title or URL, skipping
⚠️ Row 587: No title or URL, skipping
⚠️ Row 588: No title or URL, skipping
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ac3e48... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S254243512... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/9520291... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S24058... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/abec55... (incomplete)
❌ Failed: Lifespan prediction of lithium-ion batteries based on variou... - [Errno 22] Invalid argument: 'data\\metadata.json'
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/10.1002... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S254243511... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/7/2/23... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s42256-021-00312-3... (incomplete)
✓ 📝 Added: https://osf.io/preprints/ecsarxiv/h7c24... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2071-1050/16/22/10026... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S00262... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/2310.14714... (incomplete)
⚠️ Row 610: No title or URL, skipping
✓ 📝 Added: https://www.nature.com/articles/s41467-022-29837-w... (incomplete)
✓ 📝 Added: https://pubs.rsc.org/en/content/articlelanding/2022/dd/d2dd0... (incomplete)
⚠️ Row 613: No title or URL, skipping
⚠️ Row 614: No title or URL, skipping
⚠️ Row 615: No title or URL, skipping
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.nature.com/articles/s41586-020-1994-5... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/ac2704... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/9600886... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266654682... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/10.1002/er.8216... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/full/10.1002/er.6265... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/full/10.1021/accountsmr.2c00082... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877531... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S254243512... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877531... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/full/10.1021/acsenergylett.0c02584... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S25901... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S254243512... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.researchsquare.com/article/rs-2491476/v2... (incomplete)
❌ Failed: https://essay.utwente.nl/100600/... - [Errno 22] Invalid argument: 'data\\metadata.json'
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/2.1411712jes... (incomplete)
✓ 📝 Added: https://link.springer.com/article/10.1557/s43577-021-00101-8... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/MA2021-02144mtgab... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S24058... (incomplete)
✓ 📝 Added: https://iopscience.iop.org/article/10.1149/1945-7111/abdde1... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266654682... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/7467413... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/8790543... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/abstract/document/8240689... (incomplete)
✓ 📝 Added: https://www.pnas.org/doi/10.1073/pnas.1900654116... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.pnas.org/doi/10.1073/pnas.2111164118... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/14/17/5579... (incomplete)
✓ 📝 Added: https://onlinelibrary.wiley.com/doi/abs/10.1002/ente.2017006... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/13/2/478... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S266654682... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S254243511... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S136403211... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S13640... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S03787... (incomplete)
✓ 📝 Added: https://chemrxiv.org/engage/chemrxiv/article-details/60c74d6... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/S23521... (incomplete)
✓ 📝 Added: https://www.mdpi.com/1996-1073/11/2/283... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/7122358... (incomplete)
✓ 📝 Added: https://ieeexplore.ieee.org/document/9438277... (incomplete)
⚠️ Row 661: No title or URL, skipping
✓ 📝 Added: https://www.cell.com/cell-reports-physical-science/fulltext/... (incomplete)
✓ 📝 Added: https://rosap.ntl.bts.gov/view/dot/43642... (incomplete)
✓ 📝 Added: https://www.mdpi.com/2313-0105/10/6/184... (incomplete)
✓ 📝 Added: https://arxiv.org/abs/1512.07108... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S037877532... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/abs/pii/B97803... (incomplete)
❌ Failed: https://iopscience.iop.org/article/10.1149/1945-7111/ad14d0... - [Errno 22] Invalid argument: 'data\\metadata.json'
✓ 📝 Added: https://linkinghub.elsevier.com/retrieve/pii/S20954956240011... (incomplete)
✓ 📝 Added: https://pubs.acs.org/doi/full/10.1021/acsenergylett.4c01390... (incomplete)
✓ 📝 Added: https://chemistry-europe.onlinelibrary.wiley.com/doi/full/10... (incomplete)
✓ 📝 Added: https://chemrxiv.org/engage/chemrxiv/article-details/60c74cb... (incomplete)
✓ 📝 Added: https://www.sciencedirect.com/science/article/pii/S240582972... (incomplete)
